win,Color,First Dragon Count,First Inhibitor Count,First Blood Count,First Tower Count,Avg Baron Kills,Avg Inhibitor Kills,Avg Tower Kills,Avg Total Gold,Avg Dragon Kills
2894219149,Blue,0,0,1,0,0.0,0.0,0.0,37066.0,0.0
2894219149,Red,1,1,0,1,0.0,3.0,11.0,55332.0,3.0
2894234975,Blue,1,0,1,0,0.0,0.0,0.0,45584.0,1.0
2894234975,Red,0,1,0,1,1.0,3.0,11.0,57387.0,2.0
2894349814,Blue,0,1,0,0,1.0,2.0,9.0,54664.0,1.0
2894349814,Red,1,0,1,1,0.0,0.0,4.0,41455.0,2.0
2894364908,Blue,0,0,1,0,0.0,0.0,1.0,43689.0,0.0
2894364908,Red,1,1,0,1,1.0,2.0,10.0,56117.0,2.0
2894382196,Blue,1,0,0,0,0.0,0.0,2.0,42203.0,1.0
2894382196,Red,0,1,1,1,0.0,3.0,11.0,52441.0,2.0
2894384320,Blue,0,0,0,0,0.0,0.0,0.0,38965.0,0.0
2894384320,Red,1,1,1,1,1.0,3.0,11.0,58699.0,3.0
2894442766,Blue,0,1,0,0,1.0,2.0,9.0,59074.0,2.0
2894442766,Red,1,0,1,1,0.0,0.0,3.0,46744.0,1.0
2894462188,Blue,0,0,0,0,0.0,0.0,1.0,45414.0,0.0
2894462188,Red,1,0,1,1,1.0,0.0,7.0,57673.0,3.0
2894520361,Blue,1,0,1,0,0.0,1.0,3.0,45816.0,1.0
2894520361,Red,0,1,0,1,1.0,1.0,7.0,50274.0,1.0
2894540717,Blue,0,0,0,0,0.0,0.0,1.0,43141.0,0.0
2894540717,Red,1,0,1,1,0.0,0.0,7.0,55436.0,2.0
2894552311,Blue,1,0,0,1,0.0,0.0,5.0,53012.0,3.0
2894552311,Red,0,0,1,0,0.0,0.0,0.0,43235.0,0.0
2894615099,Blue,1,0,0,1,0.0,0.0,3.0,49684.0,1.0
2894615099,Red,0,1,1,0,0.0,1.0,8.0,56430.0,2.0
