ind,gameID,winnerTotal,loserTotal,GoldDifference,bin
0,2766334061,3109.5,4068.0,-958.5,6
0,2766334061,3885.5,2518.5,1367.0,7
0,2766334061,2903.0,2429.0,474.0,8
0,2766334061,5140.5,2951.0,2189.5,9
0,2766372816,2500.0,2500.0,0.0,1
0,2766372816,50.0,0.0,50.0,2
0,2766372816,541.0,380.0,161.0,3
0,2766372816,1698.0,1585.0,113.0,4
0,2766372816,3754.0,2040.0,1714.0,5
0,2766372816,2903.0,3108.0,-205.0,6
0,2766372816,3100.0,3131.0,-31.0,7
0,2766372816,927.0,1732.0,-805.0,8
0,2766372816,2352.0,2245.0,107.0,9
0,2766377503,983.6666666666666,1002.3333333333334,-18.666666666666668,1
0,2766377503,3257.0,2458.6666666666665,798.3333333333334,2
0,2766377503,3058.6666666666665,3837.6666666666665,-779.0,3
0,2766377503,2763.0,3121.3333333333335,-358.3333333333333,4
0,2766377503,3552.3333333333335,4307.0,-754.6666666666666,5
